<<<<<<< HEAD
Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description,Source,AssetStatus,ODPCategories,ODPCategories_Keywords
Air Quality Management Area,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/air-quality-management-area1,https://open-data-perth-kinross.hub.arcgis.com/maps/8b156069dfae4be0922304145dae4a6d_6,ArcGIS Hub Dataset,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,41573,B,HTML,,air;environment;quality,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>A designated area where certain pollutants exceed certain levels and therefore need a Detailed Assessment. In PKC nitrogen dioxide and particulate matter have been identified.</span></p></div>,ckan API,,Food and Environment,{'Food and Environment': ['air quality']}
Air Quality Management Area,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/air-quality-management-area1,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Air_Quality_Management_Area/FeatureServer/6,ArcGIS GeoService,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,6764,B,ARCGIS GEOSERVICE,,air;environment;quality,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>A designated area where certain pollutants exceed certain levels and therefore need a Detailed Assessment. In PKC nitrogen dioxide and particulate matter have been identified.</span></p></div>,ckan API,,Food and Environment,{'Food and Environment': ['air quality']}
Air Quality Management Area,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/air-quality-management-area1,https://open-data-perth-kinross.hub.arcgis.com/datasets/8b156069dfae4be0922304145dae4a6d_6.csv?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,CSV,,air;environment;quality,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>A designated area where certain pollutants exceed certain levels and therefore need a Detailed Assessment. In PKC nitrogen dioxide and particulate matter have been identified.</span></p></div>,ckan API,,Food and Environment,{'Food and Environment': ['air quality']}
Air Quality Management Area,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/air-quality-management-area1,https://open-data-perth-kinross.hub.arcgis.com/datasets/8b156069dfae4be0922304145dae4a6d_6.geojson?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,GeoJSON,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,GEOJSON,,air;environment;quality,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>A designated area where certain pollutants exceed certain levels and therefore need a Detailed Assessment. In PKC nitrogen dioxide and particulate matter have been identified.</span></p></div>,ckan API,,Food and Environment,{'Food and Environment': ['air quality']}
Air Quality Management Area,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/air-quality-management-area1,https://open-data-perth-kinross.hub.arcgis.com/datasets/8b156069dfae4be0922304145dae4a6d_6.zip?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,Shapefile,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,ZIP,,air;environment;quality,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>A designated area where certain pollutants exceed certain levels and therefore need a Detailed Assessment. In PKC nitrogen dioxide and particulate matter have been identified.</span></p></div>,ckan API,,Food and Environment,{'Food and Environment': ['air quality']}
Air Quality Management Area,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/air-quality-management-area1,https://open-data-perth-kinross.hub.arcgis.com/datasets/8b156069dfae4be0922304145dae4a6d_6.kml?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,KML,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,KML,,air;environment;quality,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>A designated area where certain pollutants exceed certain levels and therefore need a Detailed Assessment. In PKC nitrogen dioxide and particulate matter have been identified.</span></p></div>,ckan API,,Food and Environment,{'Food and Environment': ['air quality']}
Better Business Partnership,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/better-business-partnership1,https://open-data-perth-kinross.hub.arcgis.com/maps/19c734e9091e4642a3aebfda031f49e2_5,ArcGIS Hub Dataset,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,41549,B,HTML,,business;economy;open data;partnership;trade,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>The aim is to help traders comply with the law while improving consumer protection through a partnership approach.</span></p></div>,ckan API,,Business and Economy;Law and Licensing,"{'Business and Economy': ['business'], 'Law and Licensing': ['law']}"
Better Business Partnership,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/better-business-partnership1,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Better_Business_Partnership/FeatureServer/5,ArcGIS GeoService,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,7469,B,ARCGIS GEOSERVICE,,business;economy;open data;partnership;trade,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>The aim is to help traders comply with the law while improving consumer protection through a partnership approach.</span></p></div>,ckan API,,Business and Economy;Law and Licensing,"{'Business and Economy': ['business'], 'Law and Licensing': ['law']}"
Better Business Partnership,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/better-business-partnership1,https://open-data-perth-kinross.hub.arcgis.com/datasets/19c734e9091e4642a3aebfda031f49e2_5.csv?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,CSV,,business;economy;open data;partnership;trade,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>The aim is to help traders comply with the law while improving consumer protection through a partnership approach.</span></p></div>,ckan API,,Business and Economy;Law and Licensing,"{'Business and Economy': ['business'], 'Law and Licensing': ['law']}"
Better Business Partnership,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/better-business-partnership1,https://open-data-perth-kinross.hub.arcgis.com/datasets/19c734e9091e4642a3aebfda031f49e2_5.geojson?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,GeoJSON,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,GEOJSON,,business;economy;open data;partnership;trade,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>The aim is to help traders comply with the law while improving consumer protection through a partnership approach.</span></p></div>,ckan API,,Business and Economy;Law and Licensing,"{'Business and Economy': ['business'], 'Law and Licensing': ['law']}"
